author|title|keywords|abstract|year|ENTRYTYPE|doi
Han Song and Yuxin Shu and Ying Dai and Lin Zhou and Haiyan Li|Big data service investment choices in a manufacturer-led dual-channel supply chain|Big data service, Dual-channel supply chain, Cost-sharing, Game theory|This paper investigates the impact of different supply chain members invest in big data service on profits by developing game-theoretic models for a dual-channel supply chain consisting of one manufacturer and one retailer. We consider the difference between big data service impacting both channels and impacting only one (traditional retail channel or online direct marketing channel). The results show that whether the manufacturer or the retailer invests in big data service, the impact of big data service on two channels at the same time is more attractive to the manufacturer and the retailer than just one channel. There are three models of investing in big data services that only affect a single channel, resulting in unreasonable pricing decisions and big data service level. In the other three models, when the fixed cost of big data service investment is large, the manufacturer and the retailer are reluctant to invest in big data service. When the investment cost is small, both parties are willing to invest in big data service. This will lead to the manufacturer and retailer making different choices, and the manufacturer as the leader will adopt the cost-sharing strategy to motivate the retailer to agree to choose the same model with the manufacturer. However, when the investment cost of big data services is moderate, the manufacturer and the retailer will choose the manufacturer to invest in big data service. Moreover, the manufacturer and the retailer will not choose the model where the manufacturer invests in big data service only affect the online direct marketing channel, because this model cannot maximize profit of them. Finally, according to the conclusion, management suggestions and enlightenment are obtained.|2022|article|https://doi.org/10.1016/j.cie.2022.108423
Eusebio Odiari and Mark Birkin|Simulating micro-level attributes of railway passengers using big data|Spatial microsimulation, Population synthesis, Micro-level attributes, Railways, Big data, Consumer data, Railway ticketing, Passenger mobility|In the absence of a comprehensive, representative, and attribute-rich population, a spatial microsimulation is necessary to simulate or reconstruct a population for use in the analysis of complex mobility on the railways. Novel consumer datasets called ‘big-data’ are exhaustive but they only reveal a subset of the wider population who consume a specific digital service. Further, big-data are measured for a particular purpose and so do not have the broad spectrum of attributes required for their wider application. Harnessing big-data by spatial microsimulation has the potential to resolve the above shortcomings. This paper explores the relative merits of different spatial microsimulation methodologies, and a case study illustrates how best to simulate a micro-population linking rail ticketing big-data with the 2011 Census commute to work data and a National Rail Travel Survey (NRTS). The result is a representative attribute-rich micro-level population, which is likely to have a significant impact on the quality of inputs to strategic, tactical and operational rail-sector analysis planning models.|2022|article|https://doi.org/10.1016/j.urbmob.2022.100027
Danilo Ardagna and Cinzia Cappiello and Walter Samá and Monica Vitali|Context-aware data quality assessment for big data|Data quality, Big data, Context-awareness, Data profiling, DQ assessment|Big data changed the way in which we collect and analyze data. In particular, the amount of available information is constantly growing and organizations rely more and more on data analysis in order to achieve their competitive advantage. However, such amount of data can create a real value only if combined with quality: good decisions and actions are the results of correct, reliable and complete data. In such a scenario, methods and techniques for the Data Quality assessment can support the identification of suitable data to process. If for traditional database numerous assessment methods are proposed, in the Big Data scenario new algorithms have to be designed in order to deal with novel requirements related to variety, volume and velocity issues. In particular, in this paper we highlight that dealing with heterogeneous sources requires an adaptive approach able to trigger the suitable quality assessment methods on the basis of the data type and context in which data have to be used. Furthermore, we show that in some situations it is not possible to evaluate the quality of the entire dataset due to performance and time constraints. For this reason, we suggest to focus the Data Quality assessment only on a portion of the dataset and to take into account the consequent loss of accuracy by introducing a confidence factor as a measure of the reliability of the quality assessment procedure. We propose a methodology to build a Data Quality adapter module, which selects the best configuration for the Data Quality assessment based on the user main requirements: time minimization, confidence maximization, and budget minimization. Experiments are performed by considering real data gathered from a smart city case study.|2018|article|https://doi.org/10.1016/j.future.2018.07.014
Imane El Alaoui and Youssef Gahi|The Impact of Big Data Quality on Sentiment Analysis Approaches|Big Data Quality Metrics, Big Data Value Chain, Big Data, Big Social Data, Sentiment Analysis, Opinion Mining|Human beings share their good or bad opinions about subjects, products, and services through internet and social networks. The ability to effectively analyze this kind of information is now seen as a key competitive advantage to better inform decisions. In order to do so, organizations employ Sentiment Analysis (SA) techniques on these data. However, the usage of social media around the world is ever-increasing, which considerably accelerates massive data generation and makes traditional SA systems unable to deliver useful insights. Such volume of data can be efficiently analyzed using the combination of SA techniques and Big Data technologies. In fact, big data is not a luxury but an essential necessary to make valuable predictions. However, there are some challenges associated with big data such as quality that could highly affect the SA systems’ accuracy that use huge volume of data. Thus, the quality aspect should be addressed in order to build reliable and credible systems. For this, the goal of our research work is to consider Big Data Quality Metrics (BDQM) in SA that rely of big data. In this paper, we first highlight the most eloquent BDQM that should be considered throughout the Big Data Value Chain (BDVC) in any big data project. Then, we measure the impact of BDQM on a novel SA method accuracy in a real case study by giving simulation results.|2019|article|https://doi.org/10.1016/j.procs.2019.11.007
Sara Dehbi and Houda Chakir Lamrani and Touhfa Belgnaoui and Tarik Lafou|Big Data Analytics and Management control|Big Data, Management control, Data Analytic, BDA, Performance measurement|In today's working environment, managers are continuously faced with abundant data that requires them to deal with it in a vigilant and rigorous way to produce insights and tackle opportunities that can sustain a competitive advantage. Big data analytics can support efficient and effective companies’ operations with superior management control. Our research objective is to identify the initial architecture of the big data implementation process and propose a novel paradigm architecture that will focus on internal and external data analysis that can bring greater value to decision makers. Untapped external data can represent a mine of quality information combining a variety of new data, outdated data, behavioral data, structured data, unstructured data translating to a set of reliable indicators that can contribute to efficient performance measurement.|2022|article|https://doi.org/10.1016/j.procs.2022.07.058
Abubakr Saeed and Hammad Riaz and Muhammad Saad Baloch|Does big data utilization improve firm legitimacy?|Big data utilization, Firm legitimacy, Information, Data-driven insights, China, Tobit instrumental variable regression|Drawing on the resource-based view, we examine how big data use impacts firm legitimacy. Using a panel dataset of the Chinese firms over the period 2012–2019, our Tobit instrumental variable regression results show a positive impact of big data on firm legitimacy. In particular, we find that an increase of one point in big data utilization is associated with a probability of 27.4 % increase in firm legitimacy. This effect is found stronger for firms in highly competitive industries. This study contributes to the nascent literature on big data and sheds light on how firms can take advantage of data-driven insights to manage the organizational environment.|2022|article|https://doi.org/10.1016/j.techfore.2022.121847
Shuaiyin Ma and Wei Ding and Yang Liu and Shan Ren and Haidong Yang|Digital twin and big data-driven sustainable smart manufacturing based on information management systems for energy-intensive industries|Internet of Things, Digital twin, Big data-driven, Information management systems, Sustainable and smart manufacturing strategy, Energy-intensive industries|Internet of Things (IoT) technology, which has made manufacturing processes more smart, efficient and sustainable, has received increasing attention from the industry and academia. As one of the most important applications for IoT, sustainable smart manufacturing enables lower cost, higher productivity and flexibility, better quality and sustainability during the product lifecycle management. Over the years, numerous enterprises have promoted the implementation of both sustainable and smart manufacturing. In the Industry 4.0 context, a ‘digital twin’ is widely used to achieve smart manufacturing, although this approach often ignores sustainability. This study aims to simultaneously consider digital twin and big data technologies to propose a sustainable smart manufacturing strategy based on information management systems for energy-intensive industries (EIIs) from the product lifecycle perspective. The integration of digital twin and big data provides key technologies for data acquisition in energy-intensive production environments, prediction and mining in uncertain environments as well as real-time control in complex working conditions. Moreover, a digital twin-driven operation mechanism and an overall framework of big data cleansing and integration are designed to explain and illustrate sustainable smart manufacturing. Two case studies from Southern and Northern China demonstrate the efficacy of the strategy, with the results showing that Companies A and B achieved the goals of energy saving and cost reduction after implementing the proposed strategy. By applying an energy management system, the unit energy consumption and energy cost of production in Company A decreased by at least 3%. In addition, the ‘cradle-to-gate’ lifecycle big data analysis indicates that the costs of environmental protection in Company B decrease significantly. Finally, the effectiveness of the proposed strategy and some managerial insights for EIIs in China are analysed and discussed.|2022|article|https://doi.org/10.1016/j.apenergy.2022.119986
Alice Wickersham and Johnny Downs|Chapter 3 - Clinical applications of big data to child and adolescent mental health care|Big data, Child and adolescent mental health, Data linkage, Electronic healthcare records, Natural language processing|Over the past twodecades, healthcare providers across the world have adopted digital methods for capturing clinical and administrative information. Clinicians take contemporaneous records of their interactions with patients, so many health service providers have accrued vast repositories of longitudinally collected data. These data, coupled with advances in data extraction methods, computer processing power, and linkage to nonhealth public services data, now provide child and adolescent mental health researchers unique opportunities for tackling a broad range of clinical questions; especially those where the considerations of scale and generalizability make individually funded studies unaffordable. However, these “big” data have their limitations. Best practice requires clinicians, informaticians, and data scientists to work together, so assumptions over data quality or validity are not misplaced. This chapter explains why the evidence base for child and adolescent mental healthcare needs big data applications as well as conventional research, to move the field forward. This chapter provides illustrations of big data applications to child and adolescent mental healthcare, primarily from England and the United Kingdom, but also offers a section on the global perspective. This chapter also reviews the methodological strengths and weaknesses of big data and describes the ethical and governance implications for their use.|2023|incollection|https://doi.org/10.1016/B978-0-323-91709-4.00005-6
Vinaya Keskar and Jyoti Yadav and Ajay Kumar|Perspective of anomaly detection in big data for data quality improvement|Credit card, Validation, LUHN, Big data, Bank|The period of Big Data examination has started in many businesses inside created nations. With expanding headway of Internet technology, expanding measures of data are spilling into contemporary associations. Data are getting bigger and more muddled because of the nonstop age of data from numerous gadgets and sources. In this investigation, we have examined the banking area's inconsistencies because of big data technology, inconsistencies in credit card and afterwards the path how to remove these inconsistencies.|2022|article|https://doi.org/10.1016/j.matpr.2021.05.597
Reza Mortaheb and Piotr Jankowski|Smart city re-imagined: City planning and GeoAI in the age of big data|Smart city, AI in urban planning, Urban digital twins, Geographic information science and systems, Sustainable urban development|This paper aims to engage with the ongoing debates on the role of planning in future smart cities, to make a case for a reconceptualization of the technocentric notion of the smart city, and to elevate the position of city planning within the smart-city discourse. The central argument made is that the smart city could exploit the synergies between city planning and three techno-scientific domains including Big Data, Geographic Information Science and Systems, and Data Science—which collectively constitute an emerging field known as Geospatial Artificial Intelligence (GeoAI)— to meet four overarching policy goals: 1) to enhance the efficiency of urban services and functions; 2) to improve quality of life for all urban citizens; 3) to address the pressing societal, ecological and economic challenges that could plague urban systems on different levels; and, 4) to contribute to the production of spatial data, information and knowledge on human-urban dynamics. In addition, the paper defines a human-centered conceptual framework illustrating how the cross-pollination between city planning and the three techno-scientific fields could enhance the planning practice and accomplish the smart-city policy goals. The methodology employed in this study entails a systematic review of the literature. In addition to discussing the latest achievements as well as the progress made on the nexus of city planning and GeoAI, the paper also highlights the barriers to the application of GeoAI in the planning, design and management of smart cities and identifies potential avenues for future research.|2022|article|https://doi.org/10.1016/j.jum.2022.08.001
Hongna Tian and Yunfang Li and Yan Zhang|Digital and intelligent empowerment: Can big data capability drive green process innovation of manufacturing enterprises?|Big data capability, Green innovation intention, Green process innovation, Digital and intelligent empowerment, fs QCA|This research takes manufacturing enterprises with big data capability as the research object, based on organizational decision-making theory and planned behavior theory, the mediation effect model of “capability-intention-behavior” is constructed. It uses econometric models to explore the impact and conduction process of big data capability on green process innovation. The results show that big data capability have an obvious direct effect on green process innovation. By examining the mediation effect test, we find that green innovation intention partially mediates the relationship between big data capability and green process innovation. Then a fuzzy set qualitative comparative analysis (fs QCA) is used in this paper to analyze the causal complexity between big data capability and green process innovation, and to identify six effective configuration paths. According to the results, the synergy of big data acquisition capability, big data analysis capability and big data insight capability is crucial for high green process innovation, where big data insight capability plays a central role and big data acquisition capability or analysis capability and green innovation intention play a marginal role. According to the heterogeneity test, it is found that big data capability has stronger roles in the eastern region in China; green innovation intention has a stronger impact in the central and western regions in China. As enterprise-scale increases, the impact of big data capability on green process innovation increases and then declines, while the impact of green innovation intention on green process innovation continues to decline.|2022|article|https://doi.org/10.1016/j.jclepro.2022.134261
Sonia Cisneros-Cabrera and Anna-Valentini Michailidou and Sandra Sampaio and Pedro Sampaio and Anastasios Gounaris|Experimenting with big data computing for scaling data quality-aware query processing|Data quality-aware queries, Big data computing, Empirical evaluation|Combining query processing techniques with data quality management approaches enables enforcement of quality constraints, such as timeliness, accuracy and completeness, as part of ad-hoc query specification and execution, improving the quality of query results. Despite the emergence of novel data quality processing tools, there is a dearth of studies assessing performance and scalability in the execution of data quality assessment tasks during query processing. This paper reports on an empirical study aiming to investigate the extent to which a big data computing framework (Spark) can offer significant gains in performance and scalability when executing data quality querying tasks over a range of computational platforms including a single commodity multi-core machine and a cluster-based platform for a wide range of workloads. Our results show that substantial performance and scalability gains can be obtained by using optimized data science libraries combined with the parallel and distributed capabilities of big data computing. We also provide guidelines on choosing the appropriate computational infrastructure for executing DQ-aware queries.|2021|article|https://doi.org/10.1016/j.eswa.2021.114858
Ekansh Upadhyay|A critical evaluation of handling uncertainty in Big Data processing|Big Data, Uncertainty, Behavioral research, Fuzzy logic, Learning, Veracity, Unlabeled data, Machine learning|"Big Data is a modern economic and social transformation driver all over the world. The selection has reached a tipping point in terms of big technological advancements that could usher in new ones. It's about making decisions, taking charge of our health, our cities, our wallets, and our education. While the amount, diversity, speed, and reliability of data has increased, so has the complexity of the data (Amzal et al., 2006). Our ability to identify the ""value of information through Big Data"" will have the most impact. As a result of the resolution of large data concerns, Big Data is revolutionising the IT sector Software vendors in many industries are unable to move forward with dependability and scalability, Information on the project. With the help of relational databases, the explanation for why business requires adequate atomic transactions in the business sector. As a result, to benefit from both technology, advantages, and solutions. Big Data, which refers to databases that are too huge to be processed with current database administration tools, is gaining traction in a variety of significant applications, including internet search, business, social networking, genomics, and meteorology [2]. This concept highlights key research challenges and the promise of data-driven optimization that organically integrates fuzzy, machine learning, and deep learning for decision-making under uncertainty, and identifies potential research opportunities in the business field of Bayesian optimization under uncertainty through a modern data lens. Big Data is a big issue for science and database data mining. Here, we look at the fascinating activities that my community has been doing at this conference to talk about the Big Data problem. As a result, the central focus is linking Big Data to individuals in numerous ways."|2022|article|https://doi.org/10.1016/j.advengsoft.2022.103246
Thuy Duong Oesterreich and Eduard Anton and Frank Teuteberg and Yogesh K Dwivedi|The role of the social and technical factors in creating business value from big data analytics: A meta-analysis|Big data analytics, IT business value, Firm performance, Meta-analysis, Moderator analysis, Sociotechnical theory|Big data analytics (BDA) has recently gained importance as an emerging technology for handling big data. The use of advanced techniques with differing levels of intelligence, such as descriptive, predictive, prescriptive, and autonomous analytics, is expected to create value for firms. By viewing BDA as a sociotechnical system, we conduct a meta-analysis of 107 individual studies to integrate prior evidence on the role of the technical and social factors of BDA in creating BDA business value. The findings underline the predominant role of the social components in enhancing firm performance, such as the BDA system’s human factors and a nurturing organizational structure, in contrast to the minor role of the technological factors. However, both the technical and social factors are found to be strong determinants of BDA business value. Through the combined lens of sociotechnical theory and the IS business value framework, we contribute to research and practice by enhancing the understanding of the main technical and social determinants of BDA business value at the firm level.|2022|article|https://doi.org/10.1016/j.jbusres.2022.08.028
Yongjun Ren and Ding Huang and Wenhai Wang and Xiaofeng Yu|BSMD:A blockchain-based secure storage mechanism for big spatio-temporal data|Big spatio-temporal data, Subvector commitment, Blockchain, Cloud computing|As more and more mobile devices and IoT terminals are connected to the Internet, a huge amount of spatio-temporal data is generated. In order to cope with the pressure of storing and computing massive amounts of data locally and to share data to fully utilize its value, data owners usually store data in cloud servers. However, the data owner will lose physical control of big spatio-temporal data while the big spatio-temporal data is stored on the cloud, and it will be at the risk of being tampered with and deleted. Therefore, this paper designs a blockchain-based secure storage mechanism, BSMD, which adopts an on-chain and off-chain cooperative storage model to alleviate the shortage of blockchain storage capacity. The updatable subvector commitment designed in this paper is used to construct the on-chain and off-chain secure authentication protocol which ensures the consistency of on-chain and off-chain data and makes the protocol have the capability of batch processing. Finally, the correctness and security of the proposed protocol are proved, and the performance of the protocol is analyzed.|2023|article|https://doi.org/10.1016/j.future.2022.09.008
Pingping Sun and Lingang Gu|Energy big data acquisition and application based on service portfolio quality|Energy big data, Service portfolio quality, Internet of Things, Heterogeneous computing|Based on the Web service composition technology, the method of decomposing the quality of QoS indicators is proposed. Compared with the traditional integer programming and genetic algorithm, it improves the calculation speed of QoS of Internet of Things service portfolio quality. Big data technology is an important technology for handling massive amounts of data in a complex network environment. Although the previous big data technology can effectively deal with this, there are still shortcomings in accuracy and real-time. In order to achieve visual energy management and control and improve the application value of big data technology, a real-time visualized integrated energy big data platform based on heterogeneous computers is proposed. The platform can connect to heterogeneous computers of users in the business area in a non-intrusive manner. In order to obtain more accurate data related to energy supply, so as to monitor the state of energy supply from a comprehensive perspective. At the same time, in-depth research on the data resource sharing relationship, value network and service model has been carried out, and corresponding construction methods have been proposed. The results show that the proposed method is faster and more accurate in real-time detection of energy consumption.|2021|article|https://doi.org/10.1016/j.seta.2021.101134
Saqib Shamim and Jing Zeng and Syed Muhammad Shariq and Zaheer Khan|Role of big data management in enhancing big data decision-making capability and quality among Chinese firms: A dynamic capabilities view|Big data management, Dynamic capabilities, Big data decision-making capability, Decision-making quality, China|This study examines the antecedents and influence of big data decision-making capabilities on decision-making quality among Chinese firms. We propose that such capabilities are influenced by big data management challenges such as leadership, talent management, technology, and organisational culture. By using primary data from 108 Chinese firms and utilising partial least squares, we tested the antecedents of big data decision-making capability and its impact on decision-making quality. Findings suggest that big data management challenges are the key antecedents of big data decision-making capability. Furthermore, the latter is vital for big data decision-making quality.|2019|article|https://doi.org/10.1016/j.im.2018.12.003
A. Yahyaoui and H. Zrouri and O. Hamdani and W. Azizi and Y. Sbibih and M. Harrandou and A. Saddari and E. Sebbar and M. Choukri|Contribution of artificial intelligence and big data in a medical biology laboratory: An experience of the central laboratory CHU Mohammed VI Oujda|Big Data, Artificial intelligence (AI), Depp learning (DL), Machine learning (ML), Medical biology, Laboratory|The practice of medicine and medical biology is being revolutionized by the development of artificial intelligence (AI) and Big Data analysis in this field, with their ability to process large volumes of structured and unstructured data from different sources with a satisfactory processing speed. Medical analytics provides a huge amount of information and data. However, Big Data and AI allow for innovative applications in the field of medical biology. Thus, this article summarizes some recent promising applications of AI and Big Data in medical biology laboratories, notably in the central laboratory of the Mohammed VI University Hospital Oujda, as the quality improvement and vitamin D prediction threshold, which have potential added value for improving the quality of contemporary health services and reducing the costs of analysis and care.|2022|article|https://doi.org/10.1016/j.matpr.2022.09.134
Qinyao Yu|Simulation of the interactive prediction of contemporary social change and religious socialization based on big data|Socialization of religion, Big data, Interactive model, Correlation degree|Religious interaction, supported by effective theories and practical approaches, can be influenced by the social environment, resulting in differing religious paths and characteristics with changes in society. The acceleration of population aging directly affects personal consumption and indirectly affects economic development. By analyzing big data, this paper examines and predicts the interaction between contemporary social change and religionization. Through statistical analyses of cultivated land and urbanization rate data, a strong negative correlation is revealed between GDP development level and cultivated land area. The correlation coefficient between these variables can reach −0.9258, indicating that they are closely related. There is also a high positive correlation between urbanization rate and the natural logarithm of fixed asset investment, with a correlation coefficient of 0.9417. Urbanization rate has the greatest impact on fixed asset investment. Religious interaction not only maintains and cultivates political culture and improves individuals' political quality and ability but also facilitates the development of political identity, which can effectively promote social change in China.|2022|article|https://doi.org/10.1016/j.techfore.2022.122038
Rebecca N. Ram and Domenico Gadaleta and Timothy E.H. Allen|The role of ‘big data’ and ‘in silico’ New Approach Methodologies (NAMs) in ending animal use – A commentary on progress|Computational toxicology, In-silico, NAMs, New approach methodologies, Human relevant, QSAR, Read across, Chemical safety, High throughput, Adverse outcome pathways|In silico (computational) methods continue to evolve as part of a robust 21st century public health strategy in risk assessment, relevant to all sectors of chemical safety including preclinical drug discovery, industrial chemicals testing, food and cosmetics. Alongside in vitro methods as components of intelligent testing and pathway driven strategies, in silico models provide the potential for more human relevant solutions to the use of animals in safety testing and biomedical research. These are often termed ‘New Approach Methodologies’ (NAMs). Some NAMs incorporate the use of ‘big data’, for example the information provided from high throughput or high content in vitro screening assays or ‘omics’ technologies. Big data has increasing relevance to predictive toxicology but must be appropriately defined, particularly with regard to ‘quality vs quantity’. The purpose of this article is to provide a commentary on the progress of in silico human-based research methods within the context of NAMs, as well as discussion of the emerging use of big data with relevance to safety assessment. The current status of in silico methods is discussed, with input from researchers in the field. Scientific and legislative drivers for change are also considered, along with next steps to address challenges in funding and recognition, to achieve regulatory acceptance and uptake within the research community. To provide some wider context, the use of in silico methods alongside other relevant approaches (e.g., human-based in vitro) is also discussed.|2022|article|https://doi.org/10.1016/j.comtox.2022.100232
Ohbyung Kwon and Namyeon Lee and Bongsik Shin|Data quality management, data usage experience and acquisition intention of big data analytics|Big data analytics, Resource-based view, Data quality management, IT capability, Data usage|Big data analytics associated with database searching, mining, and analysis can be seen as an innovative IT capability that can improve firm performance. Even though some leading companies are actively adopting big data analytics to strengthen market competition and to open up new business opportunities, many firms are still in the early stage of the adoption curve due to lack of understanding of and experience with big data. Hence, it is interesting and timely to understand issues relevant to big data adoption. In this study, a research model is proposed to explain the acquisition intention of big data analytics mainly from the theoretical perspectives of data quality management and data usage experience. Our empirical investigation reveals that a firm's intention for big data analytics can be positively affected by its competence in maintaining the quality of corporate data. Moreover, a firm's favorable experience (i.e., benefit perceptions) in utilizing external source data could encourage future acquisition of big data analytics. Surprisingly, a firm's favorable experience (i.e., benefit perceptions) in utilizing internal source data could hamper its adoption intention for big data analytics.|2014|article|https://doi.org/10.1016/j.ijinfomgt.2014.02.002
Jianzheng Liu and Jie Li and Weifeng Li and Jiansheng Wu|Rethinking big data: A review on the data quality and usage issues|Big data, Data quality and error, Data ethnics, Spatial information sciences|The recent explosive publications of big data studies have well documented the rise of big data and its ongoing prevalence. Different types of “big data” have emerged and have greatly enriched spatial information sciences and related fields in terms of breadth and granularity. Studies that were difficult to conduct in the past time due to data availability can now be carried out. However, big data brings lots of “big errors” in data quality and data usage, which cannot be used as a substitute for sound research design and solid theories. We indicated and summarized the problems faced by current big data studies with regard to data collection, processing and analysis: inauthentic data collection, information incompleteness and noise of big data, unrepresentativeness, consistency and reliability, and ethical issues. Cases of empirical studies are provided as evidences for each problem. We propose that big data research should closely follow good scientific practice to provide reliable and scientific “stories”, as well as explore and develop techniques and methods to mitigate or rectify those ‘big-errors’ brought by big data.|2016|article|https://doi.org/10.1016/j.isprsjprs.2015.11.006
Sufen Wang and Junyi Yuan and Changqing Pan|Impact of big data resources on clinicians’ activation of prior medical knowledge|Big data resources, Activation of prior medical knowledge, Shared big data resources, Private big data resources|"Background
Activating prior medical knowledge in diagnosis and treatment is an important basis for clinicians to improve their care ability. However, it has not been systematically explained whether and how various big data resources affect the activation of prior knowledge in the big data environment faced by clinicians.
Objective
The aim of this study is to contribute to a better understanding on how the activation of prior knowledge of clinicians is affected by a wide range of shared and private big data resources, to reveal the impact of big data resources on clinical competence and professional development of clinicians.
Method
Through the comprehensive analysis of extant research results, big data resources are classified as big data itself, big data technology and big data services at the public and institutional levels. A survey was conducted on clinicians and IT personnel in Chinese hospitals. A total of 616 surveys are completed, involving 308 medical institutions. Each medical institution includes a clinician and an IT personnel. SmartPLS version 2.0 software package was used to test the direct impact of big data resources on the activation of prior knowledge. We further analyze their indirect impact of those big data resources without direct impact.
Results
(1) Big data quality environment at the institutional level and the big data sharing environment at the public level directly affect activation of prior medical knowledge; (2) Big data service environment at the institutional level directly affects activation of prior medical knowledge; (3) Big data deployment environment at the institutional level and big data service environment at the public level have no direct impact on activation of prior knowledge of clinicians, but they have an indirect impact through big data quality environment and service environment at the institutional level and the big data sharing environment at the public level.
Conclusions
Big data technology, big data itself and big data service at the public level and institutional level interact and influence each other to activate prior medical knowledge. This study highlights the implications of big data resources on improvement of clinicians’ diagnosis and treatment ability."|2022|article|https://doi.org/10.1016/j.heliyon.2022.e10312
Qiuping Ma and Hongyan Li and Anders Thorstenson|A big data-driven root cause analysis system: Application of Machine Learning in quality problem solving|Quality management, Data mining, Machine Learning, Multi-class classification, Neural Network|Root cause analysis for quality problem solving is critical to improve product quality performance and reduce the quality risk for manufacturers. Subjective conventional methods have been applied frequently in past decades. However, due to increasingly complex product and supply chain structures, diverse working conditions, and massive amounts of components, accuracy and efficiency of root cause analysis are progressively challenged in practice. Therefore, data-driven root cause analysis methods have attracted attention lately. In this paper, taking advantage of the availability of big operations data and the rapid development of data science, we design a big data-driven root cause analysis system utilizing Machine Learning techniques to improve the performance of root cause analysis. More specifically, we first propose a conceptual framework of the big data-driven root cause analysis system including three modules of Problem Identification, Root Cause Identification, and Permanent Corrective Action. Furthermore, in the Problem Identification Module, we construct a unified feature-based approach to describe multiple and different types of quality problems by applying a data mining method. In the Root Cause Identification Module, we use supervised Machine Learning (classification) methods to automatically predict the root causes of multiple quality problems. Finally, we illustrate the accuracy and efficiency of the proposed system and algorithms based on actual quality data from a case company. This study contributes to the literature from the following aspects: (i) the integrated system and algorithms can be used directly to develop a computer application to manage and solve quality problems with high concurrences and complexities in any manufacturing process; (ii) a general procedure and method are provided to formulate and describe a large quantity and different types of quality problems; (iii) compared with traditional methods, it is demonstrated using real case data that manufacturing companies can save significant time and cost with our proposed data-driven root cause analysis system; (iv) this study not only aims at improving the quality problem solving practices for a complex manufacturing process but also bridges a gap between the theoretical development of Machining Learning methods and their application in the operations management domain.|2021|article|https://doi.org/10.1016/j.cie.2021.107580
Le Yao and Zhiqiang Ge|Big data quality prediction in the process industry: A distributed parallel modeling framework|Distributed modeling, MapReduce framework, Parallel computing, Quality prediction, Big data analytics|With the ever increasing data collected from the process, the era of big data has arrived in the process industry. Therefore, the computational effort for data modeling and analytics in standalone modes has become increasingly demanding, particularly for large-scale processes. In this paper, a distributed parallel process modeling approach is presented based on a MapReduce framework for big data quality prediction. Firstly, the architecture for distributed parallel data modeling is formulated under the MapReduce framework. Secondly, a big data quality prediction scheme is developed based on the distributed parallel data modeling approach. As an example, the basic Semi-Supervised Probabilistic Principal Component Regression (SSPPCR) model is deployed to concurrently train a set of local models with split datasets. Meanwhile, Bayesian rule is utilized in a MapReduce way to integrate local models based on their predictive abilities. Two case studies demonstrate the effectiveness of the proposed method for big data quality prediction.|2018|article|https://doi.org/10.1016/j.jprocont.2018.04.004
Nadine Côrte-Real and Pedro Ruivo and Tiago Oliveira|Leveraging internet of things and big data analytics initiatives in European and American firms: Is data quality a way to extract business value?|Big data analytics, Internet of things, Strategic management, Knowledge-based theory, Dynamics capability theory|Big data analytics (BDA) and the Internet of Things (IoT) tools are considered crucial investments for firms to distinguish themselves among competitors. Drawing on a strategic management perspective, this study proposes that BDA and IoT capabilities can create significant value in business processes if supported by a good level of data quality, which will lead to a better competitive advantage. Responses are collected from 618 European and American firms that use IoT and BDA applications. Partial least squares results reveal that better data quality is needed to unlock the value of IoT and BDA capabilities.|2020|article|https://doi.org/10.1016/j.im.2019.01.003
Jaison Jeevanandam and Dominic Agyei and Michael K. Danquah and Chibuike Udenigwe|Chapter 41 - Food quality monitoring through bioinformatics and big data|Food quality, Bioinformatics, Big data, Proteomics, Genomics, Molecular analysis|Assessment of food quality is an important feature in novel food products development process. This is because quality has implications for safety, nutritional contents, traceability, and market value of foods. However, due to the biochemical complexities of food products, it has become important that advanced analytical tools relating to proteomics, genomics, and big data be used to completely characterize the molecular features of food substances and monitor potential variations in quality. Such in silico tools could be used to generate molecular templates for probing the biochemical and chemo-molecular features of food substances to validate food quality for high throughput screening. For example, deep learning has received significant attention due to its capacity for feature learning based on multi-layer artificial neural networks. The combination of deep learning, molecular analysis using advanced techniques such as chromatography, electrophoresis and spectroscopy, and genome characterization will constitute a novel approach for probing the quality dynamics of food substances. Discussed in this chapter are opportunities for integrated chemical analysis, bioinformatics, and computational approaches for effective monitoring of food quality. In addition, current advancements in food quality monitoring through a combination of proteomic and big data tools, as well as their future perspectives are addressed.|2022|incollection|https://doi.org/10.1016/B978-0-323-91001-9.00036-0
